"","full_name","player_team","season","games_played","fantasy_position","player_fpoint_season","player_fpoint_per_game","player_share_season","player_share_pergame","player_share_pergame_perc","team_fp_season","team_fp_pergame"
"100","Adam Treloar","Western Bulldogs",2021,13,"Mid",1133,87.15,0.0333,0.0564,5.64,34008,1545.82
"101","Adam Treloar","Western Bulldogs",2022,21,"Mid",2024,96.38,0.0588,0.0616,6.16,34448,1565.82
"102","Ahmed Saad","St Kilda",2015,4,"Forward",128,32,0.0037,0.0204,2.04,34449,1565.86
"103","Aidan Corr","Greater Western Sydney",2014,4,"Back",144,36,0.0043,0.0235,2.35,33707,1532.14
"104","Aidan Corr","Greater Western Sydney",2015,19,"Back",713,37.53,0.0208,0.0241,2.41,34301,1559.14
"105","Aidan Corr","Greater Western Sydney",2016,3,"Back",119,39.67,0.0032,0.0238,2.38,36633,1665.14
"106","Aidan Corr","Greater Western Sydney",2017,20,"Back",964,48.2,0.027,0.0297,2.97,35659,1620.86
"107","Aidan Corr","Greater Western Sydney",2018,16,"Back",697,43.56,0.02,0.0275,2.75,34798,1581.73
"108","Aidan Corr","Greater Western Sydney",2019,4,"Back",159,39.75,0.0044,0.024,2.4,36428,1655.82
"109","Aidan Corr","Greater Western Sydney",2020,14,"Back",718,51.29,0.0358,0.0435,4.35,20055,1179.71
"110","Aidan Corr","North Melbourne",2021,2,"Back",129,64.5,0.0039,0.0429,4.29,33055,1502.5
"111","Aidan Corr","North Melbourne",2022,20,"Back",1147,57.35,0.0372,0.0409,4.09,30862,1402.82
"112","Aidan Riley","Melbourne",2014,9,"Mid",418,46.44,0.0128,0.0312,3.12,32708,1486.73
"113","Aidan Riley","Melbourne",2015,4,"Forward",126,31.5,0.0039,0.0215,2.15,32285,1467.5
"114","Aiden Begg","Collingwood",2022,3,"Forward",131,43.67,0.004,0.0294,2.94,32718,1487.18
"115","Aiden Bonar","Greater Western Sydney",2018,4,"Mid",236,59,0.0068,0.0373,3.73,34798,1581.73
"116","Aiden Bonar","Greater Western Sydney",2019,2,"Back",84,42,0.0023,0.0254,2.54,36428,1655.82
"117","Aiden Bonar","North Melbourne",2020,6,"Back",199,33.17,0.0103,0.0291,2.91,19386,1140.35
"118","Aiden Bonar","North Melbourne",2021,10,"Back",438,43.8,0.0133,0.0292,2.92,33055,1502.5
"119","Aiden Bonar","North Melbourne",2022,10,"Back",301,30.1,0.0098,0.0215,2.15,30862,1402.82
"120","Aidyn Johnson","Port Adelaide",2017,5,"Forward",234,46.8,0.0065,0.0287,2.87,35866,1630.27
"121","Aidyn Johnson","Port Adelaide",2018,5,"Forward",189,37.8,0.0054,0.0237,2.37,35160,1598.18
"122","Aidyn Johnson","Port Adelaide",2019,1,"Forward",52,52,0.0015,0.032,3.2,35703,1622.86
"123","Alan Toovey","Collingwood",2014,17,"Back",856,50.35,0.0256,0.0331,3.31,33450,1520.45
